dataset,dataset_spec,model,random_state,n_samples,n_features,n_classes,n_bits,rho,ds_source,ds_n_samples,ds_n_features,ds_n_classes,ari_train,ami_train,ari_test,ami_test,train_time_s,pred_time_s,n_clusters,memory_bits,variant,n_train,n_test,status,error,traceback,ds_uci_id
Spambase,UCI_94_Spambase,ART1,0,4601,57,2,1,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0036912008654326,0.0009866240434348,1,7296.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,0,4601,57,2,1,0.25,ucimlrepo,4601,57,2,0.221206002783149,0.2584941638177786,-0.0155040538549064,0.0411487699911564,0.0036436160007724,0.0014750150003237,3,21888.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,0,4601,57,2,1,0.5,ucimlrepo,4601,57,2,-0.0232496172125276,0.0594065187390266,-0.0163464025167561,0.0625843940184372,0.0393363318871706,0.0170611450448632,74,539904.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,0,4601,57,2,1,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,-0.0149771751001061,0.0609085501719548,0.8529435601085424,0.5603967520873994,2300,16780800.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,0,4601,57,2,1,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,-0.0149771751001061,0.0609085501719548,0.8373379861004651,0.5522696049883962,2300,16780800.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,0,4601,57,2,4,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0092087539378553,0.0062677948735654,1,29184.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,0,4601,57,2,4,0.25,ucimlrepo,4601,57,2,0.0506193414681534,0.0273975213729119,0.0163874012210525,0.0125608262145863,0.0109733201097697,0.0075833650771528,2,58368.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,0,4601,57,2,4,0.5,ucimlrepo,4601,57,2,0.0123025278211191,0.0679221770815231,0.0141175976473009,0.0891203065916716,0.5303284989204258,0.3700696979649365,312,9105408.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,0,4601,57,2,4,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0150576689025648,0.0819815277178971,3.107626392000384,2.809308181000233,2300,67123200.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,0,4601,57,2,4,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0150576689025648,0.0819815277178971,3.236671221908182,2.82023123698309,2300,67123200.0,binary,2300,2301,ok,,,94.0
